Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Quality
BOSCH ,8 kg,Front Load,1400 rpm,Automatic,10 Year Warranty,"₹35,490","₹52,990",33% off,4.2,"2,512 Ratings & 187 Reviews"
SAMSUNG ,,Top Load,1300 rpm,Semi Automatic,,"₹11,490","₹15,800",27% off,4.4,"39,769 Ratings & 2,761 Reviews"
IFB ,8 kg,,1200 RPM,,10 Years Warranty,"₹33,990","₹45,990",26% off,4.3,"86,882 Ratings & 8,633 Reviews"
Thomson ,7 kg,Top Load,1400 rpm,Semi Automatic,5 Years Warranty,"₹7,590","₹10,499",27% off,4.1,"19,634 Ratings & 1,740 Reviews"
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
LG ,8 kg,,1300 rpm,,5 Years Warranty,"₹13,990","₹19,990",30% off,4.5,"5,669 Ratings & 379 Reviews"
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
MOTOROLA ,7 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,490",39% off,4.3,"8,190 Ratings & 705 Reviews"
Voltas ,5 kg,,700 RPM,,5 Years Warranty,"₹5,490","₹7,490",26% off,4.1,"2,230 Ratings & 163 Reviews"
Whirlpool ,5 kg,Top Load,740 rpm,Automatic,,"₹16,290","₹21,150",22% off,4.1,"29,661 Ratings & 2,021 Reviews"
Thomson ,8 kg,Top Load,840 rpm,Automatic,5 Years Warranty,"₹12,499","₹18,499",32% off,4.2,"5,220 Ratings & 984 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
realme ,7 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹11,690","₹21,990",46% off,4.2,"13,053 Ratings & 1,470 Reviews"
Lloyd ,5 kg,,1300 rpm,,5 Years Warranty,"₹9,490","₹17,590",46% off,4.3,"2,369 Ratings & 178 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
MOTOROLA ,7 kg,Top Load,700 rpm,Automatic,,"₹11,490","₹21,990",47% off,4.2,"1,771 Ratings & 219 Reviews"
LG ,5 kg,,1300 rpm,Semi Automatic,5 Years Warranty,"₹14,490","₹19,990",27% off,4.5,"9,007 Ratings & 642 Reviews"
Thomson ,10 kg,Top Load,900 rpm,Automatic,5 Years Warranty,"₹14,999","₹20,499",26% off,4.2,"5,220 Ratings & 984 Reviews"
MOTOROLA ,10 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹10,690","₹20,990",49% off,4.3,"8,190 Ratings & 705 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
