Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Quality
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
Voltas ,11 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹20,990","₹45,990",54% off,4.2,893 Ratings & 64 Reviews
Panasonic ,8 kg,Top Load,702 rpm,Automatic,2 Years Warranty,"₹19,990","₹24,900",19% off,4.3,"12,454 Ratings & 1,291 Reviews"
Haier ,8 kg,Top Load,800 RPM,Automatic,12 Years Warranty,"₹23,990","₹36,000",33% off,4.3,"32,559 Ratings & 2,811 Reviews"
TCL ,5 kg,Front Load,1400 rpm,Automatic,,"₹22,990","₹45,990",50% off,3.8,62 Ratings & 13 Reviews
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Thomson ,7 kg,Top Load,1400 rpm,Semi Automatic,4 Years Warranty,"₹7,590","₹10,499",27% off,4,"4,575 Ratings & 466 Reviews"
SAMSUNG ,7 kg,Top Load,1300 rpm,Semi Automatic,,"₹10,990","₹14,350",23% off,4.5,961 Ratings & 82 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
Voltas ,9 kg,,1350 rpm,,5 Years Warranty,"₹12,399","₹25,000",50% off,4.4,"2,660 Ratings & 222 Reviews"
LG ,10 kg,,1300 rpm,,,"₹20,106","₹20,490",1% off,4.5,"1,101 Ratings & 76 Reviews"
Voltas ,5 kg,Front Load,1200 rpm,Automatic,12 Years Warranty,"₹22,990","₹38,190",39% off,4,891 Ratings & 98 Reviews
Godrej ,5 kg,Top Load,1400 rpm,Semi Automatic,5 Years Warranty,"₹11,290","₹13,500",16% off,4.2,598 Ratings & 52 Reviews
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
ONIDA ,5 kg,Top Load,1300 rpm,Semi Automatic,1 Year Warranty,"₹11,490","₹18,990",39% off,4.3,44 Ratings & 3 Reviews
Midea ,7 kg,Top Load,1350 rpm,Semi Automatic,2 Years Warranty,"₹7,890","₹10,990",28% off,4.5,75 Ratings & 12 Reviews
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,10 kg,Front Load,1400 rpm,Automatic,10 Years Warranty,"₹36,990","₹66,500",44% off,4.1,528 Ratings & 62 Reviews
SAMSUNG ,8 kg,Top Load,700 RPM,Automatic,,"₹20,190","₹25,500",20% off,3.9,16 Ratings & 2 Reviews
Voltas ,11 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹21,990","₹47,990",54% off,4.2,893 Ratings & 64 Reviews
ONIDA ,5 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹15,990","₹24,490",34% off,4.3,575 Ratings & 78 Reviews
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
MarQ ,2 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹13,390","₹16,999",21% off,4.2,"11,487 Ratings & 1,587 Reviews"
ONIDA ,12 kg,Top Load,1300 rpm,Semi Automatic,10 Years Warranty,"₹15,790","₹24,000",34% off,4.1,"1,006 Ratings & 61 Reviews"
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
IFB ,7 kg,Front Load,1000 RPM,Automatic,,"₹26,990","₹32,490",16% off,4.3,"1,204 Ratings & 115 Reviews"
LG ,9 kg,Top Load,700 RPM,Automatic,,"₹29,990","₹38,990",23% off,4,5 Ratings & 0 Reviews
IFB ,8 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹27,270","₹34,990",22% off,4.3,"21,400 Ratings & 1,729 Reviews"
Singer ,10 kg,Top Load,1350 RPM,Semi Automatic,,"₹12,690","₹20,590",38% off,4.5,42 Ratings & 7 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
LG ,8 kg,,1350 RPM,,,"₹13,735","₹18,293",24% off,4.4,"2,630 Ratings & 193 Reviews"
Whirlpool ,5 kg,Top Load,1400 RPM,Semi Automatic,10 years warranty,"₹13,910","₹23,550",40% off,4.1,79 Ratings & 1 Reviews
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Whirlpool ,5 kg,Top Load,740 rpm,Automatic,10 Years Warranty,"₹28,699","₹35,350",18% off,4.1,142 Ratings & 16 Reviews
LG ,5 kg,Top Load,700 RPM,Automatic,10 Years Warranty,"₹21,524","₹22,999",6% off,,
SAMSUNG ,8 kg,Top Load,700 RPM,Automatic,3 Years warranty,"₹19,900","₹28,000",28% off,4.2,105 Ratings & 8 Reviews
Whirlpool ,5 kg,Top Load,1450 RPM,Semi Automatic,5 Years Warranty,"₹13,340","₹18,999",29% off,4.2,195 Ratings & 12 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
IFB ,9 kg,,1400 rpm,,10 Years Warranty,"₹45,990","₹60,990",24% off,4.4,"1,962 Ratings & 200 Reviews"
LG ,5 kg,Top Load,1300 rpm,Semi Automatic,,"₹15,990","₹17,990",11% off,4.4,"3,123 Ratings & 254 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,5 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹13,290","₹17,900",25% off,4.2,"6,150 Ratings & 450 Reviews"
Haier ,8 kg,Front Load,1400 rpm,Automatic,5 Years Warranty,"₹37,490","₹62,000",39% off,3.9,70 Ratings & 10 Reviews
White ,12 kg,Top Load,1600 rpm,Semi Automatic,5 Years Warranty,"₹12,490","₹16,999",26% off,4,687 Ratings & 72 Reviews
Lloyd ,5 kg,,1300 rpm,,2 Years Warranty,"₹14,490","₹19,490",25% off,4.3,"1,159 Ratings & 85 Reviews"
Haier ,5 kg,Top Load,1000 RPM,Automatic,1 Years Warranty,"₹23,490","₹24,000",2% off,4,8 Ratings & 0 Reviews
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Haier ,5 kg,Top Load,800 RPM,Automatic,12 Years Warranty,"₹22,990","₹33,000",30% off,4.3,"32,559 Ratings & 2,811 Reviews"
IFB ,8 kg,Front Load,1200 rpm,Automatic,,"₹34,990","₹40,690",14% off,4.3,"3,410 Ratings & 280 Reviews"
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,7 kg,Top Load,1350 RPM,Semi Automatic,,"₹8,549","₹12,990",34% off,4.3,"2,041 Ratings & 146 Reviews"
Voltas ,8 kg,Top Load,1300 RPM,Semi Automatic,,"₹14,248","₹14,890",4% off,4.4,20 Ratings & 2 Reviews
SAMSUNG ,9 kg,Top Load,700 RPM,Automatic,3 Years warranty,"₹24,999","₹31,500",20% off,4,61 Ratings & 4 Reviews
Whirlpool ,8 kg,Top Load,1400 rpm,Semi Automatic,5 Years Warranty,"₹11,940","₹16,999",29% off,4.4,"5,582 Ratings & 644 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,7 kg,,1300 rpm,Semi Automatic,5 Years Warranty,"₹9,190","₹15,290",39% off,4.3,"2,207 Ratings & 158 Reviews"
Whirlpool ,5 kg,Top Load,1450 RPM,Semi Automatic,5 Years Warranty,"₹13,900","₹18,550",25% off,4.2,195 Ratings & 12 Reviews
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
IFB ,8 kg,,1200 RPM,,10 Years Warranty,"₹32,990","₹43,790",24% off,4.3,"86,882 Ratings & 8,633 Reviews"
Midea ,7 kg,Top Load,680 rpm,Automatic,2 Years Warranty,"₹15,490","₹22,990",32% off,4.1,"1,634 Ratings & 202 Reviews"
Voltas ,14 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹15,490","₹24,590",37% off,4,250 Ratings & 22 Reviews
Whirlpool ,5 kg,Top Load,1450 rpm,Semi Automatic,5 Years Warranty,"₹12,990","₹14,990",13% off,4.3,438 Ratings & 31 Reviews
ONIDA ,7 kg,Top Load,750 RPM,Automatic,5 Years Warranty,"₹13,990","₹21,990",36% off,4.2,"41,160 Ratings & 4,628 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Whirlpool ,8 kg,Front Load,1200 rpm,Automatic,5 Years Warranty,"₹31,990","₹46,480",31% off,4.1,989 Ratings & 86 Reviews
Acer ,5 kg,Top Load,700 RPM,Automatic,10 Years Warranty,"₹12,999","₹20,999",38% off,4,3 Ratings & 1 Reviews
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
IFB ,8 kg,,1400 RPM,,10 Years Warranty,"₹35,990","₹47,290",23% off,4.4,41 Ratings & 4 Reviews
Godrej ,10 kg,Top Load,650 rpm,Automatic,10 Years Warranty,"₹24,990","₹40,000",37% off,,
Voltas ,8 kg,Front Load,1200 rpm,Automatic,,"₹26,800","₹53,990",50% off,,
CANDY ,8 kg,Top Load,1300 rpm,Semi Automatic,,"₹10,274","₹13,490",23% off,4.2,820 Ratings & 88 Reviews
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,7 kg,Top Load,1350 RPM,Semi Automatic,,"₹8,639","₹12,990",33% off,4.1,326 Ratings & 23 Reviews
ONIDA ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹9,990","₹13,670",26% off,4.2,"10,346 Ratings & 930 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Haier ,8 kg,,1200 rpm,,5 Years Warranty,"₹54,990","₹55,000",,4.3,"1,249 Ratings & 154 Reviews"
IFB ,6 kg,Front Load,800 RPM,Automatic,,"₹23,590","₹27,190",13% off,4.3,"2,054 Ratings & 198 Reviews"
SAMSUNG ,5 kg,Front Load,1000 rpm,Automatic,20 years warranty,"₹24,990","₹37,200",32% off,4.4,"28,202 Ratings & 2,671 Reviews"
Whirlpool ,8 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹12,790","₹16,800",23% off,4.5,4 Ratings & 0 Reviews
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
SAMSUNG ,10 kg,Top Load,700 rpm,Automatic,20 years warranty,"₹29,190","₹38,000",23% off,3.8,37 Ratings & 2 Reviews
Whirlpool ,5 kg,Top Load,740 rpm,Automatic,10 Years Warranty,"₹27,570","₹27,575",,4.4,833 Ratings & 128 Reviews
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Midea ,6 kg,Front Load,1000 rpm,Automatic,2 Years Warranty,"₹18,635","₹29,990",37% off,4,588 Ratings & 78 Reviews
Whirlpool ,5 kg,Top Load,1400 RPM,Semi Automatic,,"₹13,690","₹20,950",34% off,4.4,47 Ratings & 3 Reviews
Whirlpool ,7 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹9,967","₹14,000",28% off,4.3,255 Ratings & 15 Reviews
Voltas ,8 kg,Top Load,720 rpm,Automatic,,"₹18,650","₹37,990",50% off,3.9,134 Ratings & 14 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
Haier ,8 kg,Front Load,1200 rpm,Automatic,5 Years Warranty,"₹33,990","₹48,990",30% off,4.3,"1,249 Ratings & 154 Reviews"
Haier ,9 kg,Top Load,1300 RPM,Semi Automatic,5 Years Warranty,"₹16,727",,,4.2,"1,074 Ratings & 78 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Godrej ,8 kg,Top Load,1440 rpm,Semi Automatic,2 Years Warranty,"₹14,160","₹17,000",16% off,4.3,716 Ratings & 58 Reviews
Lloyd ,8 kg,,1300 rpm,Semi Automatic,5 Years Warranty,"₹11,490","₹17,590",34% off,4.3,"2,369 Ratings & 178 Reviews"
Voltas ,7 kg,Top Load,1350 RPM,Semi Automatic,,,,,4.3,"2,041 Ratings & 146 Reviews"
SAMSUNG ,7 kg,Top Load,700 RPM,Automatic,20 Years Warranty,"₹17,900","₹22,500",20% off,4.1,9 Ratings & 1 Reviews
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
SAMSUNG ,5 kg,Top Load,1300 rpm,Semi Automatic,,"₹11,490","₹15,900",27% off,4.4,"10,568 Ratings & 717 Reviews"
IFB ,5 kg,Front Load,1400 rpm,Automatic,,"₹42,290","₹47,990",11% off,4.4,"1,011 Ratings & 117 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
InnoQ ,7 kg,,1500 rpm,,,"₹6,790","₹17,990",62% off,4.2,"1,003 Ratings & 141 Reviews"
Electrolux ,9 kg,Front Load,1200 rpm,Automatic,10 Years Warranty,"₹41,490","₹75,990",45% off,4.2,50 Ratings & 10 Reviews
Panasonic ,7 kg,Top Load,702 rpm,Automatic,10 Years Warranty,"₹33,599",,,4.2,78 Ratings & 9 Reviews
BOSCH ,8 kg,Front Load,1200 RPM,Automatic,2 Years Warranty,"₹34,964","₹48,190",27% off,4.5,762 Ratings & 50 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,6 kg,Front Load,1200 rpm,Automatic,5 Years Warranty,"₹20,590","₹36,990",44% off,3.5,21 Ratings & 0 Reviews
LG ,7 kg,Top Load,780 RPM,Automatic,10 Years Warranty,"₹21,490","₹24,999",14% off,4.1,35 Ratings & 1 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,7 kg,,1200 rpm,,10 Years Warranty,"₹28,990","₹43,990",34% off,4.4,"22,237 Ratings & 1,824 Reviews"
Acer ,5 kg,,700 rpm,,10 Years Warranty,"₹15,899","₹35,999",55% off,4.1,"1,186 Ratings & 155 Reviews"
ONIDA ,7 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹14,990","₹23,490",36% off,4.3,575 Ratings & 78 Reviews
BOSCH ,6 kg,,1400 RPM,,,"₹61,059","₹78,290",22% off,4.4,66 Ratings & 4 Reviews
LG ,10 kg,Top Load,700 RPM,Automatic,10 Years Warranty,"₹32,990","₹39,361",16% off,4.4,317 Ratings & 21 Reviews
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Godrej ,7 kg,Top Load,665 rpm,Automatic,,"₹20,990","₹27,840",24% off,4.2,192 Ratings & 12 Reviews
Electrolux ,5 kg,,1200 rpm,,10 Years Warranty,"₹52,990","₹92,990",43% off,3,7 Ratings & 1 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,8 kg,Top Load,1300 rpm,Semi Automatic,,"₹11,249","₹17,390",35% off,4.4,44 Ratings & 6 Reviews
BOSCH ,9 kg,Top Load,720 RPM,Automatic,,"₹30,999","₹45,190",31% off,4.7,3 Ratings & 1 Reviews
Whirlpool ,7 kg,Front Load,1200 RPM,Automatic,,"₹32,600","₹46,700",30% off,,
SAMSUNG ,9 kg,,1400 rpm,,20 years warranty,"₹51,990","₹61,500",15% off,4.4,742 Ratings & 79 Reviews
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,5 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹13,290","₹17,900",25% off,4.2,"6,150 Ratings & 450 Reviews"
Whirlpool ,7 kg,Top Load,1350 RPM,Semi Automatic,,"₹11,639","₹14,000",16% off,3.7,23 Ratings & 3 Reviews
Haier ,5 kg,Top Load,0 RPM,Automatic,2 Years Warranty,"₹23,800","₹33,000",27% off,5,3 Ratings & 1 Reviews
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
SAMSUNG ,8 kg,Front Load,1400 rpm,Automatic,20 years warranty,"₹37,990","₹59,400",36% off,3.9,30 Ratings & 1 Reviews
SAMSUNG ,9 kg,,700 rpm,,20 years warranty,"₹25,497","₹31,500",19% off,4,61 Ratings & 4 Reviews
LG ,,,40 rpm,,10 Years Warranty,"₹65,990","₹82,990",20% off,,
Thomson ,10 kg,Top Load,1400 rpm,Semi Automatic,2 Years Warranty,"₹12,490","₹15,499",19% off,4.3,118 Ratings & 17 Reviews
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Lloyd ,5 kg,Top Load,680 rpm,Automatic,2 Years Warranty,"₹12,751","₹19,990",36% off,3.9,112 Ratings & 12 Reviews
Voltas ,5 kg,,1200 rpm,Automatic,12 Years Warranty,"₹22,564","₹35,590",36% off,3.8,136 Ratings & 14 Reviews
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Whirlpool ,5 kg,Top Load,740 rpm,Automatic,10 Years Warranty,"₹16,940","₹21,350",20% off,,
SAMSUNG ,11 kg,Top Load,700 rpm,Automatic,20 years warranty,"₹38,952","₹48,500",19% off,4.3,54 Ratings & 4 Reviews
Haier ,10 kg,Top Load,1300 RPM,Semi Automatic,5 Years Warranty,"₹16,472","₹18,400",10% off,4.4,72 Ratings & 9 Reviews
Voltas ,7 kg,Top Load,1350 RPM,Semi Automatic,,"₹9,900","₹12,990",23% off,3.5,4 Ratings & 0 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
Intex ,5 kg,Top Load,700 rpm,Automatic,5 Years Warranty,"₹9,990","₹25,999",61% off,4.2,"1,833 Ratings & 316 Reviews"
Voltas ,8 kg,Top Load,1450 RPM,Semi Automatic,,"₹13,999","₹19,990",29% off,4.3,10 Ratings & 1 Reviews
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,5 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹13,290","₹17,900",25% off,4.2,"6,150 Ratings & 450 Reviews"
Thomson ,5 kg,Top Load,1600 RPM,Semi Automatic,5 Years Warranty,"₹8,999","₹11,999",25% off,3.9,511 Ratings & 62 Reviews
DMR ,6 kg,,240 RPM,,,"₹5,699","₹7,999",28% off,3.6,81 Ratings & 4 Reviews
Khaitan ,2 kg,Top Load,1300 RPM,Semi Automatic,2 Years Warranty,"₹15,899","₹24,990",36% off,,
SAMSUNG ,5 kg,Top Load,1350 rpm,Semi Automatic,,"₹16,490","₹18,400",10% off,4.4,799 Ratings & 52 Reviews
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,6 kg,Front Load,1000 rpm,Automatic,12 Years Warranty,"₹23,150","₹29,990",22% off,3.8,136 Ratings & 14 Reviews
IFB ,6 kg,Front Load,1000 rpm,Automatic,,"₹28,690","₹32,590",11% off,4.4,264 Ratings & 35 Reviews
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
MarQ ,8 kg,,1350 RPM,,1 Year Warranty,"₹5,328","₹12,000",55% off,4.1,751 Ratings & 66 Reviews
Whirlpool ,5 kg,Top Load,740 rpm,Automatic,12 Years Warranty,"₹23,999","₹33,590",28% off,4.1,"2,134 Ratings & 208 Reviews"
Panasonic ,8 kg,Top Load,700 rpm,Automatic,10 Years Warranty,"₹25,490","₹32,000",20% off,4,5 Ratings & 0 Reviews
Haier ,5 kg,Top Load,1300 RPM,Semi Automatic,5 Years Warranty,"₹12,899","₹19,000",32% off,4.2,"1,074 Ratings & 78 Reviews"
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Panasonic ,11 kg,Top Load,702 rpm,Automatic,2 Years Warranty,"₹31,490","₹43,900",28% off,,
BOSCH ,6 kg,Front Load,1000 RPM,Automatic,,"₹28,999","₹33,990",14% off,4,8 Ratings & 1 Reviews
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
